Track title,track lyrics,Release Year,composer ,Lyricist,Tokenized & Preprocessed Lyrics,Sentiment,Sentiment_Score,Emotion
البنت الشلبيه,البنت الشلبيه عيونا لوزيه بحبك قلبى ياقلبى انتى عينيا حد القناطر محبوبى ناطر كسر الخواطر ياولفى ماهان عليا بتطل بتلوح القلب مجروحو ايام عالبال بتعن تروح الرمانه حبى حاكانى سمعنى غنانى عيونى اتغزل فيا,2009.0,تراث,تراث,"البنت
الشلبيه
عيونا
لوزيه
بحبك
قلبى
ياقلبى
انتى
عينيا
حد
القناطر
محبوبى
ناطر
كسر
الخواطر
ياولفى
ماهان
عليا
بتطل
بتلوح
القلب
مجروحو
ايام
عالبال
بتعن
تروح
الرمانه
حبى
حاكانى
سمعنى
غنانى
عيونى
اتغزل
فيا",positive,0.6481959223747253,love
اخر ايام الصيفيه,اخر ايام الصيفيه والصبيه شوى شوى وصلت ساحه ميس الريم وانقطعت العربيه اخر ايام المشاوير فى غيمه زرقه وبرد كتير وحدى منسيه بساحه رماديه انا والليل وغنيه تاخرنا وشو طالع بالايد حبيبى وسبقتنا المواعيد انا فى زورك بعنيى وعمرها تمشى العربيه,1975.0,الاخوين رحبانى,الأخوين رحباني,"اخر
ايام
الصيفيه
والصبيه
شوى
شوى
وصلت
ساحه
ميس
الريم
وانقطعت
العربيه
اخر
ايام
المشاوير
فى
غيمه
زرقه
وبرد
كتير
وحدى
منسيه
بساحه
رماديه
انا
والليل
وغنيه
تاخرنا
وشو
طالع
بالايد
حبيبى
وسبقتنا
المواعيد
انا
فى
زورك
بعنيى
وعمرها
تمشى
العربيه",negative,0.9408420324325562,love
اعطنى الناى,اعطنى الناى وغن فالغنا سر الوجود وانين الناى يبقى ان يفنى الوجود اتخذت الغاب مثلى منزلا القصور فتتبعت السواقى وتسلقت الصخور تحممت بعطره وتنشفت بنور وشربت الفجر خمرا كؤوس اثير جلست العصر مثلى جفنات العنب والعناقيد تدلت كثريات الذهب فرشت العشب ليلا وتلحفت الفضاء زاهدا فى سياتى ناسيا مضى اعطنى الناى وغن وانسى داء ودواء انما الناس سطور كتبت بماء,1973.0,نجيب حنكش,جبران خليل جبران,"اعطنى
الناى
وغن
فالغنا
سر
الوجود
وانين
الناى
يبقى
ان
يفنى
الوجود
اتخذت
الغاب
مثلى
منزلا
القصور
فتتبعت
السواقى
وتسلقت
الصخور
تحممت
بعطره
وتنشفت
بنور
وشربت
الفجر
خمرا
كؤوس
اثير
جلست
العصر
مثلى
جفنات
العنب
والعناقيد
تدلت
كثريات
الذهب
فرشت
العشب
ليلا
وتلحفت
الفضاء
زاهدا
فى
سياتى
ناسيا
مضى
اعطنى
الناى
وغن
وانسى
داء
ودواء
انما
الناس
سطور
كتبت
بماء",positive,0.59146648645401,longing
انا لحبيبى,انا لحبيبى حبيبى الى عصفوره بيضا بقى تسالى يعتب حدا يزعل حدا انا لحبيبى حبيبى الى حبيبى ندهلى قلى الشتى رجعت اليمامه زهر التفاح انا بابى الندى الصباح بعيونك ربيعى نور حلى ندهلى حبيبى جيت بلا سؤال نومى سرقنى راحه البال اناعلى دربو دربو عالجمال شمس المحبه حكايتنا اغزلى,1965.0,الاخوين رحبانى,الأخوين رحباني,"انا
لحبيبى
حبيبى
الى
عصفوره
بيضا
بقى
تسالى
يعتب
حدا
يزعل
حدا
انا
لحبيبى
حبيبى
الى
حبيبى
ندهلى
قلى
الشتى
رجعت
اليمامه
زهر
التفاح
انا
بابى
الندى
الصباح
بعيونك
ربيعى
نور
حلى
ندهلى
حبيبى
جيت
بلا
سؤال
نومى
سرقنى
راحه
البال
اناعلى
دربو
دربو
عالجمال
شمس
المحبه
حكايتنا
اغزلى",positive,0.9536519646644592,love
بكتب اسمك,بكتب اسمك ياحبيبى الحور العتيق بتكتب اسمى حبيبى رمل الطريق وبكرا بتشتى الدنى القصص المجرحه بيبقى اسمك حبيبى واسمى بينمحى بحكى عنك ياحبيبى لاهالى الحى بتحكى عنى ياحبيبى لنبعه المى ولما بيدور السهر قناديل المسا بيحكوا عنك ياحبيبى وانا بنتسى وهديتنى ورده فرجيتا لصحابى خبيتا بكتابى زرعتا المخدى هديتك مزهريى كنت تداريها تعتنى تا ضاعت الهديه وبتقلى بتحبنى بتعرف قديش مازالك بتحبنى ليش دخلك ليش بكتب اسمك ياحبيبى الحور العتيق بكتب اسمك حبيبى رمل الطريق,1961.0,الاخوين رحبانى,الأخوين رحباني,"بكتب
اسمك
ياحبيبى
الحور
العتيق
بتكتب
اسمى
حبيبى
رمل
الطريق
وبكرا
بتشتى
الدنى
القصص
المجرحه
بيبقى
اسمك
حبيبى
واسمى
بينمحى
بحكى
عنك
ياحبيبى
لاهالى
الحى
بتحكى
عنى
ياحبيبى
لنبعه
المى
ولما
بيدور
السهر
قناديل
المسا
بيحكوا
عنك
ياحبيبى
وانا
بنتسى
وهديتنى
ورده
فرجيتا
لصحابى
خبيتا
بكتابى
زرعتا
المخدى
هديتك
مزهريى
كنت
تداريها
تعتنى
تا
ضاعت
الهديه
وبتقلى
بتحبنى
بتعرف
قديش
مازالك
بتحبنى
ليش
دخلك
ليش
بكتب
اسمك
ياحبيبى
الحور
العتيق
بكتب
اسمك
حبيبى
رمل
الطريق",negative,0.7094134092330933,love
بينى وبينك,بينى بينك ليل فى حب غنيى بابى بتقعد ليل منسهر ليلى بينى بينك فى اسرار بتعرف احزانى تبقى امرقلى عاهاك الدار قلو ينسانى فيق البيت العتيق غافى الطريق غافى حدو الزمان يمكن بكرا الحبيب يمرق متل الغريب يذكر اللى,1979.0,الياس رحبانى,الأخوين رحباني,"بينى
بينك
ليل
فى
حب
غنيى
بابى
بتقعد
ليل
منسهر
ليلى
بينى
بينك
فى
اسرار
بتعرف
احزانى
تبقى
امرقلى
عاهاك
الدار
قلو
ينسانى
فيق
البيت
العتيق
غافى
الطريق
غافى
حدو
الزمان
يمكن
بكرا
الحبيب
يمرق
متل
الغريب
يذكر
اللى",negative,0.6936382055282593,love
سالتك حبيبى,سالتك حبيبى لوين رايحينخلينا خلينا وتسبقنا سنيناذا كنا طولالتقينا طولليش منتلفت خايفين انا بشوفككانى بشوفك لاول مره حبيبيانا تودعناكانا تودعنا لاخر مره حبيبيقلى حكينى نحنا مينوليش منتلفت خايفينموعدنا بكراوشو تاخر بكراقولك مش جاى حبيبيعم شوفك بالساعهبتكات الساعهمن المدى جاى حبيبى ويا دنيى شتى ياسمينع اللى تلاقو ومش عارفينومن مين خايفين,1975.0,الاخوين رحبانى,الأخوين رحباني,"سالتك
حبيبى
لوين
رايحينخلينا
خلينا
وتسبقنا
سنيناذا
كنا
طولالتقينا
طولليش
منتلفت
خايفين
انا
بشوفككانى
بشوفك
لاول
مره
حبيبيانا
تودعناكانا
تودعنا
لاخر
مره
حبيبيقلى
حكينى
نحنا
مينوليش
منتلفت
خايفينموعدنا
بكراوشو
تاخر
بكراقولك
مش
جاى
حبيبيعم
شوفك
بالساعهبتكات
الساعهمن
المدى
جاى
حبيبى
ويا
دنيى
شتى
ياسمينع
اللى
تلاقو
ومش
عارفينومن
مين
خايفين",negative,0.7020097374916077,love
شادى,زمان انا وصغيره فى صبى يجى الحراش العب انا وياه اسمه شادى انا وشادى غنينا لعبنا الثلج ركضنا بالهوا كتبنا الاحجار قصص صغار ولوحنا الهوا ويوم الايام ولعت الدنى ناس ضد ناس علقوا بهالدنى وصار القتال يقرب التلال والدنى دنى وعلقت اطراف الوادى شادى ركض يتفرج خفت وصرت انده وينك رايح شادى انده يسمعنى ويبعد يبعد بالوادى يومتها عدت شفته ضاع شادى والثلج اجا وراح الثلج مره اجا وراح الثلج وانا صرت اكبر وشادى بعده صغير عم يلعب عالثلج,1970.0,الاخوين رحبانى,الأخوين رحباني,"زمان
انا
وصغيره
فى
صبى
يجى
الحراش
العب
انا
وياه
اسمه
شادى
انا
وشادى
غنينا
لعبنا
الثلج
ركضنا
بالهوا
كتبنا
الاحجار
قصص
صغار
ولوحنا
الهوا
ويوم
الايام
ولعت
الدنى
ناس
ضد
ناس
علقوا
بهالدنى
وصار
القتال
يقرب
التلال
والدنى
دنى
وعلقت
اطراف
الوادى
شادى
ركض
يتفرج
خفت
وصرت
انده
وينك
رايح
شادى
انده
يسمعنى
ويبعد
يبعد
بالوادى
يومتها
عدت
شفته
ضاع
شادى
والثلج
اجا
وراح
الثلج
مره
اجا
وراح
الثلج
وانا
صرت
اكبر
وشادى
بعده
صغير
عم
يلعب
عالثلج",negative,0.9668377041816711,sadness
طيرى طياره,طيرى طياره طيرى ورق وخيطان بدى ارجع بنت صغيره سطح الجيران وينسانى الزمان سطح الجيران سطوح بعاد النسمه الخجوله اخذونى معهم الولاد وردوا لى الطفوله ضحكات الصبيان وغنانى زمان ردتلى كتبى ومدرستى والعمر اللى وينسانى الزمان سطح الجيران فينا نهرب ونطير الورق الطاير تنكبر بكير شو صاير شو صاير زهر الرمان ميل بهالبستان تيتسلو صغار الارض ويحلو الزمان,1967.0,الاخوين رحبانى,فيلمون وهبه,"طيرى
طياره
طيرى
ورق
وخيطان
بدى
ارجع
بنت
صغيره
سطح
الجيران
وينسانى
الزمان
سطح
الجيران
سطوح
بعاد
النسمه
الخجوله
اخذونى
معهم
الولاد
وردوا
لى
الطفوله
ضحكات
الصبيان
وغنانى
زمان
ردتلى
كتبى
ومدرستى
والعمر
اللى
وينسانى
الزمان
سطح
الجيران
فينا
نهرب
ونطير
الورق
الطاير
تنكبر
بكير
شو
صاير
شو
صاير
زهر
الرمان
ميل
بهالبستان
تيتسلو
صغار
الارض
ويحلو
الزمان",negative,0.8426170349121094,sadness
عم بتضوى الشمس,عم بتضوى الشمس عالارض المزروعه عم بتضوى الشمس والدنيى عم توعى حب الزيتون السمرا سمرا مغبره وعاحفافى خلفها خفافى خلفها حفافى مشروعه قمار القمح المدريه غنيى وشو غنيه ومزارع خلفها مزارع خلفها مزارع ونبوعه وبالقطن الحلوشو اغتنينا تلج زرعناه بإيدينا حمام الغيضا غنيه بيضا تلج زرعناه بإيدينا وشوبحبك ارضى السخيه زرع الايدين القويه مطارح دوالى رمان العالى زرع الايدين القويه وهبت ريح لاقوا الريح شيلوا معاولكن هزوها بوجه الريح لاقوا الريح برقصه حلوه وغنوا مليح وللجلسه الرضيه ببيوت الهنيه خبوا غنيه,,الاخوين رحبانى,الأخوين رحباني,"عم
بتضوى
الشمس
عالارض
المزروعه
عم
بتضوى
الشمس
والدنيى
عم
توعى
حب
الزيتون
السمرا
سمرا
مغبره
وعاحفافى
خلفها
خفافى
خلفها
حفافى
مشروعه
قمار
القمح
المدريه
غنيى
وشو
غنيه
ومزارع
خلفها
مزارع
خلفها
مزارع
ونبوعه
وبالقطن
الحلوشو
اغتنينا
تلج
زرعناه
بإيدينا
حمام
الغيضا
غنيه
بيضا
تلج
زرعناه
بإيدينا
وشوبحبك
ارضى
السخيه
زرع
الايدين
القويه
مطارح
دوالى
رمان
العالى
زرع
الايدين
القويه
وهبت
ريح
لاقوا
الريح
شيلوا
معاولكن
هزوها
بوجه
الريح
لاقوا
الريح
برقصه
حلوه
وغنوا
مليح
وللجلسه
الرضيه
ببيوت
الهنيه
خبوا
غنيه",positive,0.9455157518386841,love
شط اسكندريه,شط اسكندريه شط الهوى رحنا اسكندريه رمانا الهوى دنيا هنيه وليالى رضيه احملها بعينيه شط اسكندريه البحر ورياحو والفلك الغريب يحملها جراحو ويرحل فى المغيب يتمهل شويه يتودع شويه وتعانق الميه شط اسكندريه ليالى مشيتك شط الغرام انا نسيتك ينسانى المنام والشاهد غنوه اماريه والنسمه البحريه وشط اسكندريه,1999.0,الاخوين رحبانى,الأخوين رحباني,"شط
اسكندريه
شط
الهوى
رحنا
اسكندريه
رمانا
الهوى
دنيا
هنيه
وليالى
رضيه
احملها
بعينيه
شط
اسكندريه
البحر
ورياحو
والفلك
الغريب
يحملها
جراحو
ويرحل
فى
المغيب
يتمهل
شويه
يتودع
شويه
وتعانق
الميه
شط
اسكندريه
ليالى
مشيتك
شط
الغرام
انا
نسيتك
ينسانى
المنام
والشاهد
غنوه
اماريه
والنسمه
البحريه
وشط
اسكندريه",negative,0.8340111970901489,sadness
ابحث عنك دوما,ابحث عنك دوما حلمى المختار ابحث عنك دوما واسال الازهار اراك فى خيالى ملون الجمال ابحث عنك دوما فهل اراك يوما قصدت الحقول البعيده وطفت فى الجنان وكنت اغنى سعيده ومر طائران ذكرت انى حيرى وليس لى وليف ليتنى كنت طير فى منحنى وريف ابحث عنك دوما حلمى المختار ابحث عنك دوما واسال الازهار اراك فى خيالى ملون الجمال ابحث عنك دوما فهل اراك يوما,,الاخوين رحبانى,الأخوين رحباني,"ابحث
عنك
دوما
حلمى
المختار
ابحث
عنك
دوما
واسال
الازهار
اراك
فى
خيالى
ملون
الجمال
ابحث
عنك
دوما
فهل
اراك
يوما
قصدت
الحقول
البعيده
وطفت
فى
الجنان
وكنت
اغنى
سعيده
ومر
طائران
ذكرت
انى
حيرى
وليس
لى
وليف
ليتنى
كنت
طير
فى
منحنى
وريف
ابحث
عنك
دوما
حلمى
المختار
ابحث
عنك
دوما
واسال
الازهار
اراك
فى
خيالى
ملون
الجمال
ابحث
عنك
دوما
فهل
اراك
يوما",positive,0.9660727977752686,joy
ابنه بلادى,اين الشذا والحلم المزهر اهكذا حبك اسمر اهكذا تذوى ازاهيرنا وكان المسك والعنبر الشفه الحلوه بالها تحمل لى الخمر تسكر اشعارنا كانت توشى الدنى والليل اشواقنا مقمر الهوى يمضى كعمر الندى وفى بلادى مرجه الاخضر اهواك فى اغنيه حره يخفق الناى والمزهر فى طله الفجر المنحنى يهفو اليها الكرم البيدر فى النهر الضاحك الربى تحسده الهوى الانهر فى نغم البلبل يشدو صنوبر السفح يهجر فى موكب النصر وفى رايه ذرى تاريخنا تخطر وفى امانى امتى تنتشى المروءات وتستكبر اهواك فى شعبى وفى موطنى فانت احلى انضر,,الاخوين رحبانى,ابو سلمى,"اين
الشذا
والحلم
المزهر
اهكذا
حبك
اسمر
اهكذا
تذوى
ازاهيرنا
وكان
المسك
والعنبر
الشفه
الحلوه
بالها
تحمل
لى
الخمر
تسكر
اشعارنا
كانت
توشى
الدنى
والليل
اشواقنا
مقمر
الهوى
يمضى
كعمر
الندى
وفى
بلادى
مرجه
الاخضر
اهواك
فى
اغنيه
حره
يخفق
الناى
والمزهر
فى
طله
الفجر
المنحنى
يهفو
اليها
الكرم
البيدر
فى
النهر
الضاحك
الربى
تحسده
الهوى
الانهر
فى
نغم
البلبل
يشدو
صنوبر
السفح
يهجر
فى
موكب
النصر
وفى
رايه
ذرى
تاريخنا
تخطر
وفى
امانى
امتى
تنتشى
المروءات
وتستكبر
اهواك
فى
شعبى
وفى
موطنى
فانت
احلى
انضر",positive,0.8817724585533142,love
